ID_Ticket,ID_Empresa,ID_Tecnico,Fecha_Solicitud,Fecha_Resolucion,Tipo_Servicio,Horas_Facturadas,Costo_Repuestos_USD,Tiempo_Resolucion_Horas,Ingreso_Total_USD,Nombre_Empresa,Tamano_Flota,Tipo_Contrato,Fecha_Alta,Nombre_Tecnico,Especialidad,Seniority
TK-100011,7299,747,2024-12-07 12:16:00,2024-12-07 15:16:00,Preventivo,1.7,117.02,3.0,210.51999999999998,Silva-Moyano,10,Pay-per-use,2023-07-14,Lucía Thiago Rodriguez Arias,Mecanica General,Semi-Senior
TK-100012,6531,301,2025-01-18 17:01:11,2025-01-19 21:01:11,Preventivo,1.5,96.23,28.0,178.73000000000002,"Gonzalez, Guzman and Rodriguez",25,Suscripcion,2026-02-01,Juan Ignacio Carrizo,Software,Semi-Senior
TK-100013,8454,301,2026-02-15 07:49:17,2026-02-17 08:49:17,Correctivo Mecanico,10.5,1208.8,49.0,1786.3,"Olivera, Torres and Quiroga",25,Pay-per-use,2025-05-12,Juan Ignacio Carrizo,Software,Semi-Senior
TK-100014,8999,711,2024-12-19 04:56:07,2024-12-24 10:56:07,Correctivo Mecanico,6.3,286.05,126.0,632.55,Perez Group,10,Pay-per-use,2023-06-26,Sr(a). Juan Cruz Vega,Software,Senior
TK-100015,7046,890,2025-01-30 06:35:22,2025-02-03 09:35:22,Correctivo Mecanico,7.2,1350.09,99.0,1746.09,Castro-Romero,50,Pay-per-use,2025-09-12,Sr(a). Lautaro Gonzalez,Alta Tension,Semi-Senior
TK-100016,1962,456,2025-07-12 00:59:06,2025-07-13 07:59:06,Preventivo,1.5,106.14,31.0,188.64,"Gonzalez, Farias and Leiva",50,Suscripcion,2026-03-15,Simon Toledo Ramos,Mecanica General,Semi-Senior
TK-100017,7396,998,2025-08-04 19:50:28,2025-08-07 03:50:28,Correctivo Software,6.3,485.12,56.0,831.62,Blanco-Caceres,50,Suscripcion,2024-07-28,Facundo Pilar Nuñez Aguero,Alta Tension,Junior
TK-100018,5934,780,2024-08-22 08:49:49,2024-08-22 15:49:49,Preventivo,1.1,60.96,7.0,121.46000000000001,Gonzalez Group,10,Pay-per-use,2026-01-28,Mateo Tomas Ortiz Moreno,Alta Tension,Semi-Senior
TK-100019,2865,323,2025-07-26 16:01:51,2025-07-27 21:01:51,Preventivo,1.8,109.59,29.0,208.59,"Diaz, Franco and Lopez",10,Suscripcion,2025-09-12,Santino Rivero,Alta Tension,Junior
TK-100020,4814,711,2026-03-06 00:41:08,2026-03-07 05:41:08,Correctivo Software,10.7,214.93,29.0,803.4300000000001,Gomez LLC,25,Suscripcion,2025-05-14,Sr(a). Juan Cruz Vega,Software,Senior
TK-100021,3286,747,2025-05-24 21:43:53,2025-05-27 05:43:53,Correctivo Software,5.7,581.55,56.0,895.05,"Gomez, Villalba and Molina",50,Suscripcion,2025-11-14,Lucía Thiago Rodriguez Arias,Mecanica General,Semi-Senior
TK-100022,8147,915,2026-01-15 05:25:20,2026-01-20 08:25:20,Correctivo Software,10.8,542.41,123.0,1136.4099999999999,Medina Inc,200,Suscripcion,2024-09-09,Santino Gomez,Mecanica General,Junior
TK-100023,1452,933,2025-02-03 22:08:53,2025-02-09 02:08:53,Correctivo Software,10.8,587.98,124.0,1181.98,Lucero LLC,25,Pay-per-use,2024-02-13,Bastian Salvador Carrizo Sanchez,Alta Tension,Junior
TK-100024,8489,301,2026-04-07 10:37:41,2026-04-12 11:37:41,Correctivo Mecanico,9.7,901.19,121.0,1434.69,Gomez Group,25,Suscripcion,2025-11-24,Juan Ignacio Carrizo,Software,Semi-Senior
TK-100025,2983,468,2025-10-25 02:04:02,2025-10-28 07:04:02,Correctivo Mecanico,7.1,345.43,77.0,735.9300000000001,"Vargas, Sosa and Flores",10,Pay-per-use,2024-12-07,Sr(a). Santino Martinez,Mecanica General,Senior
TK-100026,8780,131,2025-12-25 23:49:19,2025-12-26 01:49:19,Preventivo,1.5,106.74,2.0,189.24,Torres Ltd,100,Pay-per-use,2023-10-29,Juana Victoria Rojas,Mecanica General,Semi-Senior
TK-100027,3580,827,2024-06-19 12:47:28,2024-06-19 15:47:28,Preventivo,2.6,147.8,3.0,290.8,"Vega, Quiroga and Lopez",25,Pay-per-use,2024-11-23,Pilar Rodriguez,Mecanica General,Senior
TK-100028,9856,656,2024-06-17 14:48:55,2024-06-18 18:48:55,Preventivo,2.9,66.51,28.0,226.01,Alvarez-Villalba,25,Pay-per-use,2026-04-16,Juan Pablo Matilda Coronel Benitez,Software,Junior
TK-100029,9476,711,2024-07-29 06:35:05,2024-07-30 13:35:05,Preventivo,2.5,118.99,31.0,256.49,Fernandez-Rivero,25,Suscripcion,2025-09-14,Sr(a). Juan Cruz Vega,Software,Senior
TK-100030,5425,349,2025-09-11 07:12:34,2025-09-15 09:12:34,Correctivo Mecanico,6.0,1369.5,98.0,1699.5,"Cordoba, Rojas and Suarez",100,Suscripcion,2025-03-18,Sr(a). Nicolas Romero,Software,Senior
TK-100031,9279,780,2026-01-11 19:08:29,2026-01-11 23:08:29,Preventivo,1.1,52.1,4.0,112.60000000000001,"Gonzalez, Diaz and Ferreyra",10,Pay-per-use,2025-09-04,Mateo Tomas Ortiz Moreno,Alta Tension,Semi-Senior
TK-100032,4012,601,2026-02-21 19:38:10,2026-02-21 20:38:10,Preventivo,2.4,55.89,1.0,187.89,"Herrera, Roldan and Garcia",10,Pay-per-use,2023-12-22,Dr(a). Matias Cabrera,Software,Semi-Senior
TK-100033,2381,890,2025-05-04 21:36:08,2025-05-06 01:36:08,Preventivo,1.1,73.8,28.0,134.3,"Moreno, Gonzalez and Vega",25,Suscripcion,2025-03-24,Sr(a). Lautaro Gonzalez,Alta Tension,Semi-Senior
TK-100034,2729,827,2024-05-25 13:53:01,2024-05-30 21:53:01,Correctivo Mecanico,9.4,1347.1,128.0,1864.1,Campos-Godoy,200,Pay-per-use,2025-04-25,Pilar Rodriguez,Mecanica General,Senior
TK-100035,3492,422,2024-08-17 10:19:33,2024-08-17 17:19:33,Preventivo,2.6,69.04,7.0,212.04000000000002,Soto-Fernandez,25,Suscripcion,2025-11-13,Ana Paula Guzman,Mecanica General,Junior
TK-100036,5342,710,2026-05-04 20:15:42,2026-05-05 22:15:42,Correctivo Software,6.4,1322.99,26.0,1674.99,"Hernandez, Flores and Diaz",50,Suscripcion,2025-08-26,Dante Pedro Suarez,Mecanica General,Semi-Senior
TK-100037,6198,407,2026-03-10 02:09:42,2026-03-10 06:09:42,Preventivo,2.5,130.06,4.0,267.56,Cabrera-Muñoz,50,Pay-per-use,2025-07-04,Alma Valentina Gomez Farias,Mecanica General,Semi-Senior
TK-100038,8430,536,2024-09-12 15:24:12,2024-09-12 20:24:12,Preventivo,2.1,64.02,5.0,179.51999999999998,Ramirez-Gomez,10,Pay-per-use,2025-03-04,Francisco Ruiz,Alta Tension,Semi-Senior
TK-100039,9201,711,2025-04-20 16:32:36,2025-04-25 18:32:36,Correctivo Mecanico,10.8,298.0,122.0,892.0,Gimenez Inc,200,Pay-per-use,2026-01-07,Sr(a). Juan Cruz Vega,Software,Senior
TK-100040,7691,650,2025-05-02 12:29:31,2025-05-03 16:29:31,Correctivo Software,12.0,1286.84,28.0,1946.84,Ruiz-Garcia,25,Suscripcion,2023-11-25,Lautaro Benjamin Morena Fernandez,Mecanica General,Semi-Senior
TK-100041,6143,344,2024-05-13 10:58:38,2024-05-14 11:58:38,Preventivo,2.0,71.37,25.0,181.37,"Farias, Muñoz and Garcia",10,Suscripcion,2024-09-03,Juan Ignacio Thiago Fernandez Alvarez,Mecanica General,Junior
TK-100042,2622,160,2025-04-10 05:08:03,2025-04-14 10:08:03,Correctivo Mecanico,2.5,707.55,101.0,845.05,Cabrera-Acuña,25,Suscripcion,2024-07-19,Mateo Ezequiel Juan Ignacio Aguero Martinez,Mecanica General,Junior
TK-100043,5349,407,2024-10-17 01:51:42,2024-10-22 09:51:42,Correctivo Mecanico,11.6,1494.05,128.0,2132.05,Gomez Group,10,Pay-per-use,2024-10-30,Alma Valentina Gomez Farias,Mecanica General,Semi-Senior
TK-100044,2290,468,2025-10-29 18:39:36,2025-10-30 00:39:36,Preventivo,1.6,146.87,6.0,234.87,Ojeda Inc,10,Suscripcion,2025-08-16,Sr(a). Santino Martinez,Mecanica General,Senior
TK-100045,2290,272,2026-04-19 06:57:23,2026-04-24 09:57:23,Correctivo Software,8.0,853.71,123.0,1293.71,Ojeda Inc,10,Suscripcion,2025-08-16,Tiziano Ramos,Software,Semi-Senior
TK-100046,9488,536,2024-08-23 09:24:55,2024-08-28 11:24:55,Correctivo Mecanico,3.3,441.57,122.0,623.0699999999999,Sanchez and Sons,10,Suscripcion,2024-09-24,Francisco Ruiz,Alta Tension,Semi-Senior
TK-100047,2680,342,2026-03-29 02:48:12,2026-04-03 06:48:12,Correctivo Mecanico,6.3,1424.07,124.0,1770.57,"Farias, Roldan and Garcia",10,Suscripcion,2024-01-16,Nina Salvador Sosa,Software,Semi-Senior
TK-100048,7499,288,2025-09-29 19:12:11,2025-10-05 01:12:11,Correctivo Software,2.9,306.58,126.0,466.08,Gonzalez-Perez,25,Suscripcion,2025-04-10,Santino Benjamin Lorenzo Gonzalez,Alta Tension,Junior
TK-100049,3240,890,2025-01-02 09:33:29,2025-01-04 14:33:29,Correctivo Software,4.4,1131.05,53.0,1373.05,"Gomez, Morales and Gonzalez",10,Pay-per-use,2025-03-26,Sr(a). Lautaro Gonzalez,Alta Tension,Semi-Senior
TK-100050,7873,675,2024-09-13 09:55:54,2024-09-16 11:55:54,Correctivo Mecanico,8.9,590.0,74.0,1079.5,Acosta LLC,25,Pay-per-use,2023-05-22,Dr(a). Renata Aguirre,Software,Semi-Senior
TK-100051,2013,763,2026-03-23 02:48:36,2026-03-24 04:48:36,Correctivo Software,8.4,931.89,26.0,1393.8899999999999,Gomez-Mendoza,25,Pay-per-use,2024-10-26,Agostina Lopez Velazquez,Mecanica General,Senior
TK-100052,8639,536,2026-05-07 09:38:30,2026-05-10 11:38:30,Correctivo Mecanico,7.3,372.19,74.0,773.69,"Moreno, Sanchez and Sosa",10,Suscripcion,2025-06-22,Francisco Ruiz,Alta Tension,Semi-Senior
TK-100053,6649,711,2026-03-24 19:17:35,2026-03-30 00:17:35,Correctivo Mecanico,6.0,405.07,125.0,735.0699999999999,Ponce Ltd,25,Pay-per-use,2023-10-20,Sr(a). Juan Cruz Vega,Software,Senior
TK-100054,2245,396,2024-12-11 18:28:12,2024-12-16 23:28:12,Correctivo Mecanico,7.5,1068.22,125.0,1480.72,Juarez-Cabrera,25,Suscripcion,2025-11-22,Dr(a). Oriana Gutierrez,Mecanica General,Semi-Senior
TK-100055,5026,915,2024-07-24 10:21:38,2024-07-27 12:21:38,Correctivo Mecanico,3.5,1341.57,74.0,1534.07,Molina-Leiva,25,Suscripcion,2024-10-17,Santino Gomez,Mecanica General,Junior
TK-100056,2204,601,2025-10-03 08:46:52,2025-10-04 12:46:52,Preventivo,2.5,65.54,28.0,203.04000000000002,Gimenez-Coronel,10,Pay-per-use,2024-07-19,Dr(a). Matias Cabrera,Software,Semi-Senior
TK-100057,5569,468,2025-02-16 21:22:47,2025-02-20 05:22:47,Correctivo Software,4.4,1024.51,80.0,1266.51,Martinez-Medina,100,Pay-per-use,2025-12-15,Sr(a). Santino Martinez,Mecanica General,Senior
TK-100058,3286,601,2024-11-23 09:58:18,2024-11-26 10:58:18,Correctivo Software,3.4,750.65,73.0,937.65,"Gomez, Villalba and Molina",50,Suscripcion,2025-11-14,Dr(a). Matias Cabrera,Software,Semi-Senior
TK-100059,2800,109,2024-07-15 22:48:26,2024-07-17 01:48:26,Preventivo,2.5,113.71,27.0,251.20999999999998,Gonzalez LLC,100,Pay-per-use,2025-02-20,Valentino Maldonado,Mecanica General,Semi-Senior
TK-100060,2545,160,2025-02-25 18:02:50,2025-02-26 20:02:50,Correctivo Software,7.7,755.99,26.0,1179.49,Dominguez LLC,50,Suscripcion,2025-02-28,Mateo Ezequiel Juan Ignacio Aguero Martinez,Mecanica General,Junior
TK-100061,2501,890,2025-10-11 01:43:09,2025-10-12 04:43:09,Preventivo,2.8,104.56,27.0,258.56,"Diaz, Godoy and Valdez",10,Pay-per-use,2023-07-29,Sr(a). Lautaro Gonzalez,Alta Tension,Semi-Senior
TK-100062,7865,795,2026-04-14 22:26:07,2026-04-15 04:26:07,Preventivo,1.1,86.47,6.0,146.97,"Cardozo, Molina and Juarez",50,Suscripcion,2024-04-18,Valentino Cardozo Ramirez,Mecanica General,Junior
TK-100063,1440,724,2025-09-28 22:57:32,2025-10-04 05:57:32,Correctivo Mecanico,4.9,333.63,127.0,603.13,"Medina, Vega and Benitez",100,Suscripcion,2024-08-06,Mateo Fernandez,Alta Tension,Senior
TK-100064,2133,587,2024-09-18 11:59:18,2024-09-18 14:59:18,Preventivo,2.5,142.58,3.0,280.08000000000004,Carrizo-Fernandez,200,Suscripcion,2024-08-24,Simon Quiroga Sanchez,Mecanica General,Senior
TK-100065,6095,396,2024-06-22 03:45:43,2024-06-25 10:45:43,Correctivo Software,10.9,232.22,79.0,831.72,"Gomez, Avila and Garcia",50,Suscripcion,2025-12-21,Dr(a). Oriana Gutierrez,Mecanica General,Semi-Senior
TK-100066,8518,160,2025-03-16 18:43:10,2025-03-19 21:43:10,Correctivo Software,10.7,1253.97,75.0,1842.47,"Perez, Lopez and Ponce",100,Pay-per-use,2024-08-12,Mateo Ezequiel Juan Ignacio Aguero Martinez,Mecanica General,Junior
TK-100067,5451,675,2025-09-10 20:29:10,2025-09-15 00:29:10,Correctivo Mecanico,3.5,1333.82,100.0,1526.32,Sanchez-Rojas,25,Suscripcion,2023-12-12,Dr(a). Renata Aguirre,Software,Semi-Senior
TK-100068,5374,396,2025-01-05 05:28:56,2025-01-05 09:28:56,Preventivo,1.7,132.05,4.0,225.55,"Maidana, Moreno and Cabrera",25,Pay-per-use,2024-02-01,Dr(a). Oriana Gutierrez,Mecanica General,Semi-Senior
TK-100069,4912,711,2025-11-27 19:46:52,2025-11-28 00:46:52,Preventivo,1.4,82.83,5.0,159.82999999999998,"Alvarez, Mendez and Ramirez",100,Suscripcion,2024-09-17,Sr(a). Juan Cruz Vega,Software,Senior
TK-100070,4043,712,2025-11-07 04:54:33,2025-11-12 10:54:33,Correctivo Mecanico,7.3,1083.37,126.0,1484.87,"Nuñez, Alvarez and Ramos",10,Pay-per-use,2024-08-12,Clara Rojas,Mecanica General,Semi-Senior
TK-100071,7543,915,2025-12-20 12:55:30,2025-12-22 17:55:30,Correctivo Software,3.6,1461.52,53.0,1659.52,Diaz-Franco,25,Suscripcion,2025-07-11,Santino Gomez,Mecanica General,Junior
TK-100072,6908,272,2024-11-10 19:08:05,2024-11-14 02:08:05,Correctivo Mecanico,8.2,649.39,79.0,1100.3899999999999,Moyano PLC,10,Suscripcion,2025-07-08,Tiziano Ramos,Software,Semi-Senior
TK-100073,9669,828,2025-04-11 07:49:18,2025-04-11 12:49:18,Preventivo,1.2,139.95,5.0,205.95,Valdez-Guzman,10,Pay-per-use,2023-05-29,Milena Paulina Peralta Aguirre,Mecanica General,Semi-Senior
TK-100074,7226,422,2025-10-04 01:30:27,2025-10-09 05:30:27,Correctivo Mecanico,6.6,875.9,124.0,1238.9,Morales-Paez,10,Pay-per-use,2025-06-08,Ana Paula Guzman,Mecanica General,Junior
TK-100075,9094,327,2024-07-22 18:27:11,2024-07-26 00:27:11,Correctivo Mecanico,3.2,1063.51,78.0,1239.51,Sosa PLC,200,Pay-per-use,2024-12-05,Sr(a). Tomàs Ruiz,Mecanica General,Senior
TK-100076,7770,710,2025-11-10 12:15:34,2025-11-13 19:15:34,Correctivo Mecanico,9.3,590.42,79.0,1101.92,Lopez LLC,10,Suscripcion,2026-01-03,Dante Pedro Suarez,Mecanica General,Semi-Senior
TK-100077,3126,344,2024-07-25 20:43:46,2024-07-26 03:43:46,Preventivo,2.4,105.44,7.0,237.44,"Cruz, Rodriguez and Ruiz",50,Suscripcion,2025-05-24,Juan Ignacio Thiago Fernandez Alvarez,Mecanica General,Junior
TK-100078,3306,323,2024-05-13 18:37:38,2024-05-18 23:37:38,Correctivo Mecanico,8.9,1373.65,125.0,1863.15,Mendez Ltd,25,Suscripcion,2026-03-24,Santino Rivero,Alta Tension,Junior
TK-100079,3198,456,2024-10-25 16:50:10,2024-10-27 23:50:10,Correctivo Mecanico,10.4,595.04,55.0,1167.04,"Herrera, Lopez and Gomez",25,Pay-per-use,2024-01-19,Simon Toledo Ramos,Mecanica General,Semi-Senior
TK-100080,9488,763,2025-05-18 06:41:54,2025-05-22 14:41:54,Correctivo Software,8.3,618.92,104.0,1075.42,Sanchez and Sons,10,Suscripcion,2024-09-24,Agostina Lopez Velazquez,Mecanica General,Senior
TK-100081,2213,272,2024-07-12 11:15:37,2024-07-12 13:15:37,Preventivo,2.0,129.37,2.0,239.37,"Morales, Rodriguez and Fernandez",10,Suscripcion,2025-10-02,Tiziano Ramos,Software,Semi-Senior
TK-100082,3981,691,2024-08-24 00:04:50,2024-08-25 04:04:50,Correctivo Mecanico,8.8,1005.04,28.0,1489.04,Benitez Inc,50,Suscripcion,2023-11-20,Juan Rojas Torres,Alta Tension,Junior
TK-100083,3506,827,2025-08-17 01:21:54,2025-08-18 02:21:54,Correctivo Software,4.6,458.87,25.0,711.87,Lopez-Pereyra,10,Suscripcion,2026-02-15,Pilar Rodriguez,Mecanica General,Senior
TK-100084,4625,311,2024-11-04 14:52:49,2024-11-05 21:52:49,Preventivo,2.2,126.85,31.0,247.85000000000002,"Fernandez, Perez and Maidana",50,Suscripcion,2025-10-27,Luciana Franco Rojas,Mecanica General,Junior
TK-100085,7807,536,2025-06-20 09:31:11,2025-06-24 17:31:11,Correctivo Software,8.0,1133.85,104.0,1573.85,Diaz PLC,100,Suscripcion,2024-11-30,Francisco Ruiz,Alta Tension,Semi-Senior
TK-100086,8564,587,2025-10-23 02:10:26,2025-10-24 09:10:26,Correctivo Mecanico,3.9,1093.91,31.0,1308.41,Rodriguez Group,10,Suscripcion,2024-10-01,Simon Quiroga Sanchez,Mecanica General,Senior
TK-100087,1298,536,2025-04-23 15:01:30,2025-04-24 16:01:30,Preventivo,2.6,119.59,25.0,262.59000000000003,Sanchez-Duarte,25,Pay-per-use,2024-10-23,Francisco Ruiz,Alta Tension,Semi-Senior
TK-100088,9612,607,2024-05-20 03:29:54,2024-05-20 11:29:54,Preventivo,2.8,62.14,8.0,216.14,Vazquez-Paz,10,Pay-per-use,2023-09-03,Sr(a). Franco Perez,Alta Tension,Junior
TK-100089,7154,323,2024-05-19 04:40:27,2024-05-23 11:40:27,Correctivo Mecanico,11.9,974.09,103.0,1628.5900000000001,Castillo Ltd,10,Pay-per-use,2025-08-26,Santino Rivero,Alta Tension,Junior
TK-100090,2402,998,2025-11-04 05:14:49,2025-11-05 13:14:49,Preventivo,1.9,65.92,32.0,170.42000000000002,Muñoz Group,100,Pay-per-use,2025-09-20,Facundo Pilar Nuñez Aguero,Alta Tension,Junior
TK-100091,3039,536,2025-02-03 19:03:48,2025-02-09 03:03:48,Correctivo Mecanico,4.8,1028.96,128.0,1292.96,Benitez-Ruiz,10,Suscripcion,2025-03-25,Francisco Ruiz,Alta Tension,Semi-Senior
TK-100092,9595,601,2026-02-06 14:23:36,2026-02-07 18:23:36,Preventivo,1.5,57.75,28.0,140.25,"Garcia, Gomez and Diaz",50,Pay-per-use,2024-04-29,Dr(a). Matias Cabrera,Software,Semi-Senior
TK-100093,4571,344,2024-08-14 14:24:29,2024-08-16 17:24:29,Correctivo Mecanico,5.5,902.2,51.0,1204.7,Quiroga-Vazquez,10,Suscripcion,2024-01-27,Juan Ignacio Thiago Fernandez Alvarez,Mecanica General,Junior
TK-100094,7511,601,2026-03-12 04:16:57,2026-03-12 11:16:57,Preventivo,2.4,120.64,7.0,252.64,"Torres, Arias and Gonzalez",10,Suscripcion,2025-08-22,Dr(a). Matias Cabrera,Software,Semi-Senior
TK-100095,7484,967,2025-04-05 22:52:46,2025-04-08 05:52:46,Correctivo Software,7.7,740.51,55.0,1164.01,Gonzalez-Guzman,50,Pay-per-use,2023-07-27,Sebastian Medina Dominguez,Mecanica General,Junior
TK-100096,4705,347,2025-11-03 00:03:10,2025-11-08 07:03:10,Correctivo Software,8.0,1104.18,127.0,1544.18,Farias-Bravo,200,Pay-per-use,2026-01-01,Milagros Thiago Agustin Caceres Rodriguez,Alta Tension,Semi-Senior
TK-100097,2013,887,2024-08-23 14:18:02,2024-08-27 21:18:02,Correctivo Software,11.5,588.2,103.0,1220.7,Gomez-Mendoza,25,Pay-per-use,2024-10-26,Lola Cardozo Ledesma,Alta Tension,Junior
TK-100098,8564,728,2025-05-18 23:21:18,2025-05-21 07:21:18,Correctivo Mecanico,9.5,1239.83,56.0,1762.33,Rodriguez Group,10,Suscripcion,2024-10-01,Tomàs Pedro Gonzalez,Alta Tension,Semi-Senior
TK-100099,7576,245,2024-07-06 22:42:45,2024-07-08 05:42:45,Preventivo,1.9,52.9,31.0,157.4,"Gonzalez, Gonzalez and Vera",25,Suscripcion,2025-05-16,Josefina Facundo Diaz Suarez,Mecanica General,Junior
TK-100100,8054,710,2024-11-06 18:15:22,2024-11-11 19:15:22,Correctivo Mecanico,10.5,1395.4,121.0,1972.9,Gomez Inc,25,Suscripcion,2025-08-03,Dante Pedro Suarez,Mecanica General,Semi-Senior
TK-100101,6862,675,2025-03-06 11:19:05,2025-03-06 18:19:05,Preventivo,2.2,116.3,7.0,237.3,Castillo Ltd,10,Pay-per-use,2023-10-18,Dr(a). Renata Aguirre,Software,Semi-Senior
TK-100102,6277,301,2024-07-21 07:37:45,2024-07-22 11:37:45,Preventivo,1.4,76.02,28.0,153.01999999999998,"Fernandez, Fernandez and Rios",200,Suscripcion,2025-11-06,Juan Ignacio Carrizo,Software,Semi-Senior
TK-100103,7209,762,2025-12-01 12:47:38,2025-12-02 19:47:38,Preventivo,1.7,137.96,31.0,231.46,Gonzalez-Roldan,25,Suscripcion,2024-02-18,Nahiara Romero,Alta Tension,Senior
TK-100104,5558,711,2026-01-28 22:30:05,2026-01-29 04:30:05,Preventivo,1.9,124.9,6.0,229.4,Perez-Rodriguez,100,Pay-per-use,2023-06-11,Sr(a). Juan Cruz Vega,Software,Senior
TK-100105,6315,536,2024-07-31 11:45:29,2024-08-01 12:45:29,Correctivo Mecanico,3.2,1444.47,25.0,1620.47,Gonzalez-Ramirez,50,Suscripcion,2023-09-20,Francisco Ruiz,Alta Tension,Semi-Senior
TK-100106,2512,827,2024-08-01 02:11:35,2024-08-03 06:11:35,Correctivo Mecanico,4.4,226.49,52.0,468.49,"Flores, Perez and Gonzalez",10,Suscripcion,2023-12-01,Pilar Rodriguez,Mecanica General,Senior
TK-100107,5061,288,2025-01-11 07:40:19,2025-01-11 15:40:19,Preventivo,2.3,106.4,8.0,232.89999999999998,Gomez LLC,50,Pay-per-use,2024-12-28,Santino Benjamin Lorenzo Gonzalez,Alta Tension,Junior
TK-100108,3230,691,2025-02-22 10:13:25,2025-02-22 13:13:25,Preventivo,2.5,66.78,3.0,204.28,Sanchez-Duarte,25,Suscripcion,2024-03-19,Juan Rojas Torres,Alta Tension,Junior
TK-100109,1546,828,2026-03-28 05:12:08,2026-03-31 12:12:08,Correctivo Software,3.5,233.38,79.0,425.88,"Torres, Fernandez and Bustos",10,Suscripcion,2024-09-30,Milena Paulina Peralta Aguirre,Mecanica General,Semi-Senior
TK-100110,7532,967,2024-12-31 08:54:03,2024-12-31 10:54:03,Preventivo,1.4,109.21,2.0,186.20999999999998,Coronel PLC,25,Suscripcion,2025-09-30,Sebastian Medina Dominguez,Mecanica General,Junior
TK-100111,9022,656,2024-08-27 10:39:09,2024-08-27 11:39:09,Preventivo,1.6,118.43,1.0,206.43,Acosta Group,10,Pay-per-use,2024-10-29,Juan Pablo Matilda Coronel Benitez,Software,Junior
TK-100112,7590,650,2025-03-06 04:48:52,2025-03-07 05:48:52,Preventivo,1.9,87.06,25.0,191.56,Martinez-Diaz,100,Pay-per-use,2023-08-07,Lautaro Benjamin Morena Fernandez,Mecanica General,Semi-Senior
TK-100113,7442,207,2026-01-03 16:43:32,2026-01-07 00:43:32,Correctivo Mecanico,10.3,337.2,80.0,903.7,"Medina, Martinez and Nuñez",25,Pay-per-use,2023-07-26,Ciro Thiago Daniel Gomez Acuña,Mecanica General,Junior
TK-100114,2099,422,2026-02-03 16:39:15,2026-02-07 00:39:15,Correctivo Mecanico,6.6,1153.93,80.0,1516.93,Rivero Inc,10,Suscripcion,2025-03-12,Ana Paula Guzman,Mecanica General,Junior
